22-08-2020 14:45:27: Validation loss reduced from inf to  0.18056219816207886, saving model...
22-08-2020 14:45:27: Epoch : 01	Loss : 0.2105	MAE : 10.1118	Val Loss : 0.1806	Val MAE : 8.7570	Time : 13.42 s
22-08-2020 14:45:40: Validation loss reduced from 0.18056219816207886 to  0.17880231887102127, saving model...
22-08-2020 14:45:40: Epoch : 02	Loss : 0.1643	MAE : 7.7356	Val Loss : 0.1788	Val MAE : 8.7898	Time : 13.34 s
22-08-2020 14:45:53: Epoch : 03	Loss : 0.1638	MAE : 7.6946	Val Loss : 0.1812	Val MAE : 8.7772	Time : 13.38 s
22-08-2020 14:46:07: Epoch : 04	Loss : 0.1639	MAE : 7.7001	Val Loss : 0.1810	Val MAE : 8.7753	Time : 13.37 s
22-08-2020 14:46:20: Epoch : 05	Loss : 0.1637	MAE : 7.6882	Val Loss : 0.1795	Val MAE : 8.7619	Time : 13.46 s
22-08-2020 14:46:34: Epoch : 06	Loss : 0.1635	MAE : 7.6766	Val Loss : 0.1834	Val MAE : 8.8058	Time : 13.49 s
22-08-2020 14:46:47: Epoch : 07	Loss : 0.1636	MAE : 7.6987	Val Loss : 0.1813	Val MAE : 8.7933	Time : 13.54 s
22-08-2020 14:47:01: Epoch : 08	Loss : 0.1638	MAE : 7.6904	Val Loss : 0.1793	Val MAE : 8.7767	Time : 13.51 s
22-08-2020 14:47:16: Epoch : 09	Loss : 0.1637	MAE : 7.6839	Val Loss : 0.1807	Val MAE : 8.7659	Time : 15.18 s
22-08-2020 14:47:32: Epoch : 10	Loss : 0.1634	MAE : 7.6770	Val Loss : 0.1799	Val MAE : 8.7554	Time : 16.39 s
22-08-2020 14:47:48: Epoch : 11	Loss : 0.1636	MAE : 7.6827	Val Loss : 0.1805	Val MAE : 8.7584	Time : 15.58 s
22-08-2020 14:48:03: Epoch : 12	Loss : 0.1635	MAE : 7.6739	Val Loss : 0.1800	Val MAE : 8.7221	Time : 15.12 s
22-08-2020 14:48:18: Epoch : 13	Loss : 0.1634	MAE : 7.6687	Val Loss : 0.1803	Val MAE : 8.7551	Time : 14.60 s
22-08-2020 14:48:32: Epoch : 14	Loss : 0.1635	MAE : 7.6808	Val Loss : 0.1805	Val MAE : 8.7738	Time : 14.11 s
22-08-2020 14:48:46: Epoch : 15	Loss : 0.1635	MAE : 7.6729	Val Loss : 0.1800	Val MAE : 8.7615	Time : 14.17 s
22-08-2020 14:49:00: Epoch : 16	Loss : 0.1638	MAE : 7.7037	Val Loss : 0.1809	Val MAE : 8.7774	Time : 14.15 s
22-08-2020 14:49:14: Epoch : 17	Loss : 0.1637	MAE : 7.6955	Val Loss : 0.1801	Val MAE : 8.7597	Time : 14.05 s
22-08-2020 14:49:28: Validation loss reduced from 0.17880231887102127 to  0.1783064305782318, saving model...
