22-08-2020 20:52:38: Validation loss reduced from inf to  0.19255439937114716, saving model...
22-08-2020 20:52:38: Epoch : 01	Loss : 0.2723	MAE : 13.3363	Val Loss : 0.1926	Val MAE : 9.0778	Time : 23.49 s
22-08-2020 20:53:02: Epoch : 02	Loss : 0.2195	MAE : 10.3578	Val Loss : 0.1945	Val MAE : 9.2049	Time : 23.96 s
22-08-2020 20:53:25: Validation loss reduced from 0.19255439937114716 to  0.18999846279621124, saving model...
22-08-2020 20:53:25: Epoch : 03	Loss : 0.2093	MAE : 9.8959	Val Loss : 0.1900	Val MAE : 8.9445	Time : 23.40 s
22-08-2020 20:53:49: Validation loss reduced from 0.18999846279621124 to  0.18795549124479294, saving model...
22-08-2020 20:53:49: Epoch : 04	Loss : 0.1960	MAE : 9.2806	Val Loss : 0.1880	Val MAE : 8.9605	Time : 23.77 s
22-08-2020 20:54:13: Validation loss reduced from 0.18795549124479294 to  0.18671223521232605, saving model...
22-08-2020 20:54:13: Epoch : 05	Loss : 0.1866	MAE : 8.8395	Val Loss : 0.1867	Val MAE : 8.9283	Time : 23.71 s
22-08-2020 20:54:36: Validation loss reduced from 0.18671223521232605 to  0.18476562201976776, saving model...
22-08-2020 20:54:36: Epoch : 06	Loss : 0.1774	MAE : 8.4071	Val Loss : 0.1848	Val MAE : 8.8989	Time : 23.74 s
22-08-2020 20:55:00: Validation loss reduced from 0.18476562201976776 to  0.1829109713435173, saving model...
22-08-2020 20:55:00: Epoch : 07	Loss : 0.1737	MAE : 8.2147	Val Loss : 0.1829	Val MAE : 8.8188	Time : 23.44 s
22-08-2020 20:55:24: Validation loss reduced from 0.1829109713435173 to  0.18145374953746796, saving model...
22-08-2020 20:55:24: Epoch : 08	Loss : 0.1689	MAE : 7.9946	Val Loss : 0.1815	Val MAE : 8.7716	Time : 23.87 s
22-08-2020 20:55:47: Validation loss reduced from 0.18145374953746796 to  0.1809994801878929, saving model...
22-08-2020 20:55:47: Epoch : 09	Loss : 0.1662	MAE : 7.8408	Val Loss : 0.1810	Val MAE : 8.7580	Time : 23.91 s
22-08-2020 20:56:13: Epoch : 10	Loss : 0.1654	MAE : 7.8024	Val Loss : 0.1812	Val MAE : 8.7587	Time : 25.55 s
22-08-2020 20:56:38: Epoch : 11	Loss : 0.1645	MAE : 7.7582	Val Loss : 0.1814	Val MAE : 8.8078	Time : 24.49 s
22-08-2020 20:57:02: Validation loss reduced from 0.1809994801878929 to  0.18085592240095139, saving model...
22-08-2020 20:57:02: Epoch : 12	Loss : 0.1642	MAE : 7.7384	Val Loss : 0.1809	Val MAE : 8.7595	Time : 24.71 s
22-08-2020 20:57:27: Epoch : 13	Loss : 0.1638	MAE : 7.7076	Val Loss : 0.1811	Val MAE : 8.7701	Time : 24.39 s
22-08-2020 20:57:50: Validation loss reduced from 0.18085592240095139 to  0.1805591732263565, saving model...
22-08-2020 20:57:50: Epoch : 14	Loss : 0.1636	MAE : 7.6993	Val Loss : 0.1806	Val MAE : 8.7606	Time : 23.19 s
